EMP_NUM,EMP_FNAME,EMP_LNAME,EMP_EMAIL,EMP_PHONE,EMP_HIREDATE,EMP_TITLE,EMP_COMM,DEPT_NUM
83385,BRODERICK,COLBERT,B.COLBER91@LGCOMPANY.COM,888-6311,1994-11-25,FREIGHT STOCKER,0,500
83398,ZACK,GILES,Z.GILES9@LGCOMPANY.COM,342-9233,2012-08-12,FREIGHT STOCKER,0,500
83403,FELICITA,PONCE,F.PONCE79@LGCOMPANY.COM,310-1479,1982-12-05,FREIGHT STOCKER,0,500
83404,LIZ,FENTON,L.FENTON0@LGCOMPANY.COM,263-2053,2003-04-10,ASSOCIATE,0,280
83411,ROGELIO,REDMOND,R.REDMON75@LGCOMPANY.COM,413-6232,1978-02-19,SENIOR ASSOCIATE,0,250
83413,KYRA,MARINO,K.MARINO76@LGCOMPANY.COM,436-2683,1979-06-06,LOAD SPECIALIST,0,550
83415,CHASITY,WHALEN,C.WHALEN5@LGCOMPANY.COM,724-8852,2008-04-12,ASSOCIATE,0,250
83419,EUGENE,SNEED,E.SNEED88@LGCOMPANY.COM,432-9717,1991-10-22,ASSOCIATE,0,280
83423,LINDSAY,GOOD,L.GOOD93@LGCOMPANY.COM,337-9570,1996-01-11,CLERK I,0,600
83428,SHERRILL,CRUM,S.CRUM84@LGCOMPANY.COM,233-4643,1987-10-12,ASSOCIATE,0,400
83432,SAL,BENAVIDES,S.BENAVI82@LGCOMPANY.COM,456-9446,1985-09-13,PRODUCT SPECIALIST,0,280
83433,RONNA,NORWOOD,R.NORWOO90@LGCOMPANY.COM,758-3150,1993-05-30,PURCHASING SPECIALIST,0,300
83434,GERALD,WHALEY,G.WHALEY7@LGCOMPANY.COM,557-4544,2010-07-25,ASSOCIATE,0,280
83437,JUNE,SWANSON,J.SWANSO99@LGCOMPANY.COM,416-9354,2002-07-29,DRIVER,0,550
83445,QUINTIN,STAHL,Q.STAHL89@LGCOMPANY.COM,320-1174,1992-03-13,CLERK III,0,600
83446,CHARLINE,CRAFT,C.CRAFT91@LGCOMPANY.COM,745-7634,1994-11-13,ASSOCIATE,0,400
83451,ROSALIE,ELLIS,R.ELLIS81@LGCOMPANY.COM,562-9901,1984-09-15,ASSOCIATE,0,250
83453,TAMARA,CARPENTER,T.CARPEN94@LGCOMPANY.COM,824-3659,1997-06-03,LOAD SPECIALIST,0,550
83465,HELEN,TRUJILLO,H.TRUJIL10@LGCOMPANY.COM,408-9878,2013-12-15,ASSOCIATE,0,250
83476,DULCE,MCCULLOUGH,D.MCCULL83@LGCOMPANY.COM,253-7260,1986-04-05,LOAD SPECIALIST,0,550
83477,VELIA,DOTSON,V.DOTSON4@LGCOMPANY.COM,603-4472,2007-07-03,ASSOCIATE,0,400
83480,DOLLY,KING,D.KING0@LGCOMPANY.COM,499-4470,2003-02-11,SPECIALIST,0,250
83495,ABRAHAM,STAHL,A.STAHL82@LGCOMPANY.COM,359-2919,1985-12-03,ASSOCIATE,0,280
83503,GERARD,CAMP,G.CAMP76@LGCOMPANY.COM,297-7989,1979-05-29,WAREHOUSE SUPERVISOR,0,500
83504,RICHELLE,WALKER,R.WALKER80@LGCOMPANY.COM,681-7185,1983-05-07,LOAD MANAGER,0,550
83509,FRANKLYN,STOVER,S.FRANKL89@LGCOMPANY.COM,925-7585,1992-07-14,SENIOR SALES MANAGER,0.05,200
83511,SHERMAN,MICHEL,S.MICHEL76@LGCOMPANY.COM,765-2305,1979-12-21,ASSOCIATE MANAGER,0,600
83517,SONDRA,ALBRIGHT,SO.ALBRI96@LGCOMPANY.COM,584-3668,1999-08-16,ASSOCIATE,0,600
83519,TAMMI,KEYES,T.KEYES98@LGCOMPANY.COM,313-5753,2001-10-24,ASSOCIATE,0,400
83521,PALMER,DODGE,P.DODGE5@LGCOMPANY.COM,614-3767,2008-10-13,SPECIALIST,0,250
83527,LAN,STROUD,L.STROUD81@LGCOMPANY.COM,408-7250,1984-06-16,SPECIALIST,0,250
83529,LASHANDA,BRITT,L.BRITT87@LGCOMPANY.COM,862-2225,1990-07-27,SPECIALIST,0,250
83532,STUART,KENDRICK,S.KENDRI84@LGCOMPANY.COM,872-3938,1987-04-18,LOAD SPECIALIST,0,550
83534,BOBBY,NADEAU,B.NADEAU2@LGCOMPANY.COM,784-2677,2005-03-22,ASSOCIATE,0,250
83537,CLEO,ENGLISH,E.CLEO90@LGCOMPANY.COM,925-7977,1993-01-20,SENIOR ASSOCIATE,0.05,200
83542,TOSHA,LONGORIA,T.LONGOR80@LGCOMPANY.COM,728-2952,1983-02-05,ASSOCIATE,0,400
83543,ALICIA,OROZCO,A.OROZCO75@LGCOMPANY.COM,232-5061,1978-06-17,DRIVER,0,550
83545,JOVITA,TAYLOR,J.TAYLOR86@LGCOMPANY.COM,830-9670,1989-06-19,ASSOCIATE,0,250
83547,LON,HARRISON,L.HARRIS79@LGCOMPANY.COM,463-2132,1982-06-21,FREIGHT STOCKER,0,500
83555,LUANNE,SPEARS,L.SPEARS82@LGCOMPANY.COM,339-4828,1985-12-31,ASSOCIATE,0,250
83558,CRISTAL,STALLINGS,C.STALLI91@LGCOMPANY.COM,271-7997,1994-11-08,LOAD MANAGER,0,550
83562,FELICITA,MANUEL,F.MANUEL8@LGCOMPANY.COM,247-6743,2011-11-22,DOCK MANAGER,0,500
83564,EDGARDO,CONWAY,E.CONWAY85@LGCOMPANY.COM,423-8427,1988-01-13,ASSOCIATE,0,400
83565,LOURDES,ABERNATHY,A.LOURDE90@LGCOMPANY.COM,441-5953,1993-07-20,SENIOR ASSOCIATE,0.05,200
83569,ROSALINE,TOMLINSON,R.TOMLIN8@LGCOMPANY.COM,885-5337,2011-05-18,ASSOCIATE,0,400
83573,VALARIE,BLEDSOE,V.BLEDSO99@LGCOMPANY.COM,566-8222,2002-07-26,ASSOCIATE,0,400
83575,LINDSEY,GILLIAM,L.GILLIA87@LGCOMPANY.COM,741-8209,1990-03-16,DRIVER,0,550
83583,MARGARETE,ROLLINS,M.ROLLIN99@LGCOMPANY.COM,746-4665,2002-02-06,ASSOCIATE,0,600
83593,ROSANNE,NASH,N.ROSANN91@LGCOMPANY.COM,441-7677,1994-01-07,SENIOR ASSOCIATE,0.05,200
83595,LEEANN,CLINTON,L.CLINTO90@LGCOMPANY.COM,616-9615,1993-10-21,CLERK I,0,600
83602,BECKY,SPEARS,B.SPEARS2@LGCOMPANY.COM,449-2623,2005-09-30,SPECIALIST,0,250
83603,TANIKA,PADGETT,T.PADGET9@LGCOMPANY.COM,265-1581,2012-01-26,ASSOCIATE,0,400
83607,ALENE,PEACOCK,A.PEACOC84@LGCOMPANY.COM,317-5426,1987-12-13,DRIVER,0,550
83608,DARREL,MAYFIELD,D.MAYFIE89@LGCOMPANY.COM,831-2077,1992-07-07,SPECIALIST,0,250
83609,SHAUN,GIBBS,S.GIBBS8@LGCOMPANY.COM,469-5937,2011-01-23,DRIVER,0,550
83614,ARIELLE,FARLEY,A.FARLEY3@LGCOMPANY.COM,744-6166,2006-03-20,ASSOCIATE,0,280
83615,IGNACIO,PECK,I.PECK77@LGCOMPANY.COM,813-9230,1980-11-25,CLERK I,0,600
83618,CHRISTIAN,DUNLAP,C.DUNLAP92@LGCOMPANY.COM,717-5208,1995-10-27,CLERK II,0,600
83621,FONDA,GONZALEZ,G.FONDA91@LGCOMPANY.COM,925-7862,1994-06-17,SENIOR ASSOCIATE,0.05,200
83624,GERTRUDE,ELLIOT,G.ELLIOT80@LGCOMPANY.COM,817-2587,1983-02-05,WAREHOUSE SUPERVISOR,0,500
83628,FELICITA,WALTERS,F.WALTER91@LGCOMPANY.COM,527-4699,1994-03-22,ASSOCIATE,0,280
83630,BRENDAN,DOVE,B.DOVE75@LGCOMPANY.COM,633-1823,1978-01-20,ASSOCIATE,0,400
83636,ROSALIE,SOSA,R.SOSA80@LGCOMPANY.COM,879-6487,1983-07-10,DRIVER,0,550
83637,TANIKA,CRANE,T.CRANE77@LGCOMPANY.COM,449-6336,1980-02-25,PURCHASING SPECIALIST,0,300
83639,EVETTE,MIRANDA,E.MIRAND83@LGCOMPANY.COM,786-4008,1986-04-27,SENIOR ACCOUNTANT,0,600
83644,WILLA,MAXWELL,W.MAXWEL89@LGCOMPANY.COM,509-6396,1992-10-06,ASSOCIATE,0,300
83645,BRYON,BRADY,B.BRADY87@LGCOMPANY.COM,629-8513,1990-10-14,DRIVER,0,550
83646,NIGEL,BURNS,N.BURNS87@LGCOMPANY.COM,364-8204,1990-11-30,ASSOCIATE,0,280
83647,FRANCIS,HALE,F.HALE83@LGCOMPANY.COM,524-7646,1986-02-26,WAREHOUSE SUPERVISOR,0,500
83649,DELMA,JACOB,J.DELMA91@LGCOMPANY.COM,441-2915,1994-11-18,SENIOR ASSOCIATE,0.05,200
83650,GERALYN,SHELDON,G.SHELDO96@LGCOMPANY.COM,494-7185,1999-01-02,SENIOR FREIGHTER,0,500
83652,GEORGINA,EASON,G.EASON86@LGCOMPANY.COM,604-3010,1989-09-14,DRIVER,0,550
83653,LEEANN,HORN,L.HORN0@LGCOMPANY.COM,828-4361,2003-04-04,SENIOR ASSOCIATE,0,300
83656,NATHALIE,BOYLE,N.BOYLE76@LGCOMPANY.COM,569-5954,1979-11-18,CLERK II,0,600
83658,SANTIAGO,MARINO,S.MARINO95@LGCOMPANY.COM,664-1230,1998-10-07,ASSOCIATE MANAGER,0,250
83661,DAN,FINN,D.FINN87@LGCOMPANY.COM,525-9520,1990-03-10,ASSOCIATE,0,600
83664,STEPHENIE,FINN,S.FINN92@LGCOMPANY.COM,521-9517,1995-12-29,WAREHOUSE SUPERVISOR,0,500
83669,MITCHELL,RUSHING,M.RUSHIN76@LGCOMPANY.COM,409-2746,1979-02-05,ASSOCIATE MANAGER,0,250
83677,HERB,MANNING,M.HERB92@LGCOMPANY.COM,441-2423,1995-04-13,SENIOR ASSOCIATE,0.05,200
83683,MAYA,STONE,M.STONE99@LGCOMPANY.COM,650-1159,2002-08-26,LOAD SPECIALIST,0,550
83691,ROY,HEWITT,R.HEWITT88@LGCOMPANY.COM,360-4194,1991-10-18,FREIGHT STOCKER,0,500
83695,CARROLL,MENDEZ,C.MENDEZ89@LGCOMPANY.COM,546-2615,1992-08-22,ASSOCIATE MANAGER,0,300
83696,MIMI,GONZALEZ,M.GONZAL10@LGCOMPANY.COM,794-9459,2013-08-06,DRIVER,0,550
83703,TONEY,HELTON,T.HELTON83@LGCOMPANY.COM,648-8874,1986-10-16,ASSOCIATE,0,400
83705,JOSE,BARR,B.JOSE92@LGCOMPANY.COM,376-7372,1995-09-01,SALES MANAGER,0.05,200
83707,ARMAND,ALDRICH,A.ALDRIC75@LGCOMPANY.COM,523-1628,1978-07-21,ASSOCIATE,0,280
83713,KRISTEN,LAIRD,K.LAIRD3@LGCOMPANY.COM,491-1175,2006-04-11,RECEIVING SPECIALIST,0,400
83716,HENRY,RIVERA,H.RIVERA89@LGCOMPANY.COM,638-3323,1992-02-11,BUYER - CORPORATE,0,300
83719,JETTIE,HICKS,J.HICKS92@LGCOMPANY.COM,837-7327,1995-09-17,FREIGHT STOCKER,0,500
83721,KERRI,EASON,K.EASON99@LGCOMPANY.COM,637-1389,2002-06-12,ASSOCIATE,0,250
83723,MARYLIN,MCCLELLAN,M.MCCLEL89@LGCOMPANY.COM,630-3211,1992-01-01,ASSOCIATE,0,280
83724,SHERRYL,PUCKETT,S.PUCKET98@LGCOMPANY.COM,368-8968,2001-10-10,ASSOCIATE,0,280
83728,SAMANTHA,KERNS,S.KERNS83@LGCOMPANY.COM,875-3340,1986-12-27,ASSOCIATE,0,250
83729,CORRINA,RAMEY,C.RAMEY85@LGCOMPANY.COM,313-4338,1988-10-30,PURCHASING SPECIALIST,0,300
83731,SHERON,VARGAS,S.VARGAS7@LGCOMPANY.COM,862-2214,2010-07-15,LOAD MANAGER,0,550
83732,SAMMY,DIGGS,S.DIGGS95@LGCOMPANY.COM,525-2101,1998-08-11,SENIOR ASSOCIATE,0,300
83733,YASMIN,HORTON,Y.HORTON94@LGCOMPANY.COM,241-9736,1997-07-07,BRAND ASSOCIATE,0,280
83734,INEZ,ROCHA,R.INEZ93@LGCOMPANY.COM,441-7921,1996-05-20,SENIOR ASSOCIATE,0.05,200
83735,MAVIS,TAYLOR,M.TAYLOR96@LGCOMPANY.COM,493-2938,1999-10-16,FREIGHT STOCKER,0,500
83737,FAUSTO,MICHEL,F.MICHEL4@LGCOMPANY.COM,223-6737,2007-10-04,FREIGHT STOCKER,0,500
83738,PORTER,STACY,P.STACY98@LGCOMPANY.COM,238-2527,2001-04-19,PURCHASING SPECIALIST,0,300
83739,YESENIA,BRIGGS,Y.BRIGGS83@LGCOMPANY.COM,642-2465,1986-12-16,SPECIALIST,0,250
83741,VEDA,LOPEZ,V.LOPEZ89@LGCOMPANY.COM,386-1620,1992-11-23,LOAD SPECIALIST,0,550
83745,DWAIN,SPICER,D.SPICER4@LGCOMPANY.COM,694-2052,2007-08-02,LOAD SPECIALIST,0,550
83746,SEAN,RANKIN,S.RANKIN78@LGCOMPANY.COM,721-7874,1981-06-29,PURCHASING SPECIALIST,0,300
83748,CHRISTOPER,WEIR,C.WEIR80@LGCOMPANY.COM,429-5721,1983-12-29,SENIOR ASSOCIATE,0,250
83757,KENDALL,MORIN,K.MORIN96@LGCOMPANY.COM,718-7511,1999-11-21,DRIVER,0,550
83758,OLIVIA,DELEON,O.DELEON0@LGCOMPANY.COM,247-6616,2003-11-08,ASSOCIATE,0,250
83759,THOMAS,CHARLES,T.CHARLE78@LGCOMPANY.COM,613-7031,1981-08-11,RECEIVING SPECIALIST,0,400
83763,JAIME,FELTON,F.JAIME94@LGCOMPANY.COM,376-3286,1997-01-15,SENIOR ASSOCIATE,0.05,200
83767,ELLA,WILLARD,E.WILLAR4@LGCOMPANY.COM,600-9532,2007-07-04,PRODUCT SPECIALIST,0,280
83770,HOLLIE,CRAIG,H.CRAIG5@LGCOMPANY.COM,450-7613,2008-11-04,SENIOR ASSOCIATE,0,250
83773,ARETHA,BAKER,A.BAKER75@LGCOMPANY.COM,342-5914,1978-12-26,ASSOCIATE,0,400
83777,KARRIE,COOLEY,K.COOLEY83@LGCOMPANY.COM,361-4658,1986-08-17,DRIVER,0,550
83783,AARON,CARROLL,A.CARROL8@LGCOMPANY.COM,509-2866,2011-05-04,SENIOR FREIGHTER,0,500
83785,ELISHA,MCMULLEN,E.MCMULL5@LGCOMPANY.COM,815-4539,2008-11-20,LOAD SPECIALIST,0,550
83788,LANA,DOWDY,L.DOWDY99@LGCOMPANY.COM,471-8795,2002-05-11,SENIOR ASSOCIATE,0,300
83790,LAVINA,ACEVEDO,L.ACEVED86@LGCOMPANY.COM,862-6787,1989-03-09,ASSOCIATE,0,300
83792,WALLY,ANDERSEN,A.WALLY94@LGCOMPANY.COM,441-3525,1997-08-24,ASSOCIATE,0.05,200
83797,GALE,KIRK,G.KIRK5@LGCOMPANY.COM,266-1939,2008-04-12,ASSOCIATE,0,400
83808,JACINTO,TAYLOR,JA.TAYLO2@LGCOMPANY.COM,841-6956,2005-02-09,PRODUCT SPECIALIST,0,280
83813,JERRI,BENAVIDES,J.BENAVI87@LGCOMPANY.COM,553-6929,1990-02-17,ASSOCIATE,0,400
83818,KRIS,BRIGHT,K.BRIGHT90@LGCOMPANY.COM,628-8703,1993-10-16,ASSOCIATE,0,280
83820,TOM,HOBSON,H.TOM94@LGCOMPANY.COM,441-8469,1997-12-05,ASSOCIATE DIRECTOR,0.05,200
83824,PHYLISS,BOUCHARD,P.BOUCHA95@LGCOMPANY.COM,772-8742,1998-06-02,ASSOCIATE,0,250
83827,SHELBY,PRESLEY,S.PRESLE9@LGCOMPANY.COM,255-6014,2012-03-13,ASSOCIATE,0,280
83838,LEN,FLORES,L.FLORES83@LGCOMPANY.COM,605-9231,1986-02-01,LOAD SPECIALIST,0,550
83839,RONNY,TANNER,R.TANNER97@LGCOMPANY.COM,596-7025,2000-11-30,LOAD SPECIALIST,0,550
83841,EDDY,GOULD,E.GOULD85@LGCOMPANY.COM,864-4355,1988-09-04,DRIVER,0,550
83844,THOMAS,HILTON,T.HILTON8@LGCOMPANY.COM,294-6679,2011-11-17,ASSOCIATE,0,280
83845,MICHEAL,MAYBERRY,M.MAYBER75@LGCOMPANY.COM,468-3851,1978-10-07,ASSOCIATE,0,280
83850,RUSTY,MILES,M.RUSTY95@LGCOMPANY.COM,441-7137,1998-09-16,ASSOCIATE,0.04,200
83858,DAMARIS,MCQUEEN,D.MCQUEE10@LGCOMPANY.COM,767-2940,2013-10-22,DRIVER,0,550
83867,TRACIE,KELLY,T.KELLY4@LGCOMPANY.COM,731-4210,2007-06-10,PURCHASING SPECIALIST,0,300
83868,ROBIN,CAMPBELL,R.CAMPBE93@LGCOMPANY.COM,754-9577,1996-10-29,FREIGHT STOCKER,0,500
83870,MALISSA,CLARK,M.CLARK79@LGCOMPANY.COM,671-6562,1982-09-02,LOAD SPECIALIST,0,550
83873,DORTHA,MAYBERRY,D.MAYBER82@LGCOMPANY.COM,811-8238,1985-02-24,DRIVER,0,550
83877,STEPHAINE,DUNLAP,S.DUNLAP0@LGCOMPANY.COM,618-8203,2003-02-13,BUYER - RAW MATERIALS,0,300
83878,PAT,MARIN,M.PAT95@LGCOMPANY.COM,441-5894,1998-12-14,ASSOCIATE,0.04,200
83879,CORNELIA,FOOTE,C.FOOTE81@LGCOMPANY.COM,482-7236,1984-07-29,DRIVER,0,550
83886,CHRISTINE,LEBLANC,C.LEBLAN94@LGCOMPANY.COM,893-8567,1997-07-01,LOAD SPECIALIST,0,550
83893,SHERRILL,CHATMAN,S.CHATMA96@LGCOMPANY.COM,286-1833,1999-06-20,BRAND ASSOCIATE,0,280
83894,GALE,DEWITT,G.DEWITT1@LGCOMPANY.COM,662-5679,2004-07-17,LOAD SPECIALIST,0,550
83895,RASHIDA,MCNEAL,R.MCNEAL0@LGCOMPANY.COM,672-2287,2003-12-07,DRIVER,0,550
83896,JAMAAL,KENNEDY,J.KENNED91@LGCOMPANY.COM,247-4818,1994-08-08,LOAD MANAGER,0,550
83901,ZORA,WOODALL,Z.WOODAL81@LGCOMPANY.COM,529-9754,1984-03-25,ASSOCIATE,0,400
83902,ROCKY,VARGAS,R.VARGAS4@LGCOMPANY.COM,362-6523,2007-11-06,PURCHASING SPECIALIST,0,300
83903,LEE,CONNOR,L.CONNOR99@LGCOMPANY.COM,323-4593,2002-05-05,DRIVER,0,550
83904,ISREAL,WHITTAKER,I.WHITTA87@LGCOMPANY.COM,540-4126,1990-06-22,DRIVER,0,550
83906,DELLA,SIMONS,S.DELLA96@LGCOMPANY.COM,441-1613,1999-03-08,ASSOCIATE,0.04,200
83907,IRVING,SYLVESTER,I.SYLVES3@LGCOMPANY.COM,877-7432,2006-09-03,RECEIVING SPECIALIST,0,400
83910,LAUREN,AVERY,L.AVERY75@LGCOMPANY.COM,550-2270,1978-03-11,SENIOR ASSOCIATE,0,300
83914,REYNA,DUKE,R.DUKE94@LGCOMPANY.COM,449-8300,1997-01-27,RECEIVING SPECIALIST,0,400
83917,PALMER,NADEAU,P.NADEAU84@LGCOMPANY.COM,660-4755,1987-06-10,ASSOCIATE,0,280
83923,GERALD,DOTY,G.DOTY3@LGCOMPANY.COM,798-1127,2006-09-24,FREIGHT STOCKER,0,500
83926,JAE,JIMENEZ,J.JIMENE99@LGCOMPANY.COM,583-5994,2002-07-08,DRIVER,0,550
83929,RETA,SALTER,R.SALTER78@LGCOMPANY.COM,860-7260,1981-06-08,FREIGHT STOCKER,0,500
83936,BRADFORD,BRAY,B.BRADFO96@LGCOMPANY.COM,441-9836,1999-11-01,SALES MANAGER,0.04,200
83941,TRACIE,OBRIEN,T.OBRIEN88@LGCOMPANY.COM,840-3640,1991-03-15,SENIOR ASSOCIATE,0,250
83943,TILLIE,DODD,T.DODD98@LGCOMPANY.COM,359-1936,2001-03-12,PRODUCT SPECIALIST,0,280
83948,SHANNA,BOOKER,S.BOOKER90@LGCOMPANY.COM,843-9728,1993-09-09,PRODUCT SPECIALIST,0,280
83952,MONROE,GOODWIN,M.GOODWI94@LGCOMPANY.COM,584-2978,1997-05-08,BRAND ASSOCIATE,0,280
83957,WANDA,HOLLINGSWORTH,W.HOLLIN3@LGCOMPANY.COM,441-2392,2006-12-14,ASSOCIATE,0,280
83961,SHERRILL,FOOTE,S.FOOTE99@LGCOMPANY.COM,777-5262,2002-04-29,WAREHOUSE SUPERVISOR,0,500
83962,VALENCIA,WATTS,V.WATTS75@LGCOMPANY.COM,876-5728,1978-01-13,LOAD SPECIALIST,0,550
83963,MARVIN,HAYNES,M.HAYNES86@LGCOMPANY.COM,227-3515,1989-03-23,LOAD SPECIALIST,0,550
83964,HAILEY,SWEENEY,S.HAILEY97@LGCOMPANY.COM,925-6055,2000-01-14,ASSOCIATE,0.04,200
83973,EMILY,GREENWOOD,E.GREENW76@LGCOMPANY.COM,565-2870,1979-05-11,DRIVER,0,550
83977,JUSTIN,SHEARER,J.SHEARE93@LGCOMPANY.COM,803-4301,1996-09-08,ASSOCIATE,0,400
83978,KASEY,CASH,K.CASH0@LGCOMPANY.COM,286-5869,2003-02-12,RECEIVING SPECIALIST,0,400
83990,LACEY,HINKLE,L.HINKLE7@LGCOMPANY.COM,305-5489,2010-06-10,DRIVER,0,550
83991,PANSY,BOLTON,P.BOLTON77@LGCOMPANY.COM,499-6954,1980-04-24,ASSOCIATE,0,400
83993,SANG,CORTES,C.SANG97@LGCOMPANY.COM,441-6683,2000-06-04,ASSOCIATE,0.04,200
83995,KASEY,CRAFT,K.CRAFT82@LGCOMPANY.COM,537-9512,1985-05-14,ASSOCIATE,0,400
83996,DOTTIE,WESTON,D.WESTON83@LGCOMPANY.COM,398-9636,1986-08-01,ASSOCIATE,0,400
83998,EVELIA,MOCK,E.MOCK90@LGCOMPANY.COM,367-8324,1993-06-01,LOAD SPECIALIST,0,550
84001,MICHAELA,FARMER,M.FARMER92@LGCOMPANY.COM,605-3235,1995-05-25,SPECIALIST,0,250
84005,ALIDA,BLACKWELL,A.BLACKW99@LGCOMPANY.COM,643-2883,2002-03-25,ASSOCIATE,0,400
84007,LELA,PETERS,L.PETERS80@LGCOMPANY.COM,233-9059,1983-01-07,ASSOCIATE,0,250
84009,KERI,DUBOIS,K.DUBOIS89@LGCOMPANY.COM,785-1255,1992-05-06,SPECIALIST,0,250
84011,LOUELLA,ROBERSON,L.ROBERS77@LGCOMPANY.COM,824-7816,1980-02-24,ASSOCIATE,0,280
84017,IGNACIO,WALDRON,I.WALDRO10@LGCOMPANY.COM,842-2117,2013-01-26,ASSOCIATE,0,400
84021,JAROD,DICKINSON,D.JAROD97@LGCOMPANY.COM,925-5813,2000-08-10,ASSOCIATE,0.04,200
84023,JAROD,KEYES,J.KEYES10@LGCOMPANY.COM,463-1358,2013-01-09,ASSOCIATE,0,250
84024,SANJUANITA,FIELDS,S.FIELDS3@LGCOMPANY.COM,465-6974,2006-10-01,SENIOR ACCOUNTANT,0,600
84031,GAYLE,PECK,G.PECK82@LGCOMPANY.COM,847-2065,1985-10-18,ASSOCIATE,0,280
84035,HAL,FISHER,H.FISHER93@LGCOMPANY.COM,676-3662,1996-10-22,SENIOR ASSOCIATE,0,300
84039,HANNAH,COLEMAN,H.COLEMA7@LGCOMPANY.COM,540-2424,2010-06-28,LOAD SPECIALIST,0,550
84041,DEE,STILES,D.STILES87@LGCOMPANY.COM,421-2355,1990-06-30,ASSOCIATE,0,280
84042,LORRI,PETTIT,L.PETTIT94@LGCOMPANY.COM,642-3769,1997-08-24,PRODUCT SPECIALIST,0,280
84046,FRANCESCO,ELLIOT,F.ELLIOT1@LGCOMPANY.COM,269-4561,2004-09-22,SPECIALIST,0,250
84047,EMMITT,HOPPER,E.HOPPER92@LGCOMPANY.COM,539-6779,1995-02-03,FREIGHT STOCKER,0,500
84049,LANE,BRANDON,B.LANE97@LGCOMPANY.COM,441-8043,2000-10-14,SALES MANAGER,0.04,200
84052,RUBY,FORD,R.FORD85@LGCOMPANY.COM,237-8934,1988-03-13,WAREHOUSE SUPERVISOR,0,500
84055,PHILLIS,SHAW,P.SHAW6@LGCOMPANY.COM,621-4180,2009-08-26,DRIVER,0,550
84058,CHRISTOPER,HAWKINS,C.HAWKIN87@LGCOMPANY.COM,276-7180,1990-05-30,BRAND ASSOCIATE,0,280
84067,SAMANTHA,ALBRIGHT,S.ALBRIG8@LGCOMPANY.COM,371-1781,2011-06-29,DRIVER,0,550
84078,DIEGO,ERWIN,E.DIEGO98@LGCOMPANY.COM,376-9364,2001-02-14,ASSOCIATE,0.04,200
84085,JOSEFA,MCGHEE,J.MCGHEE92@LGCOMPANY.COM,292-4749,1995-09-16,FREIGHT STOCKER,0,500
84093,JUSTIN,HULL,J.HULL8@LGCOMPANY.COM,588-8161,2011-02-03,FREIGHT STOCKER,0,500
84094,YONG,MCDONALD,Y.MCDONA1@LGCOMPANY.COM,512-3436,2004-05-01,SPECIALIST,0,250
84098,STELLA,PHELPS,S.PHELPS1@LGCOMPANY.COM,811-5392,2004-12-31,DRIVER,0,550
84100,GILLIAN,PADGETT,G.PADGET90@LGCOMPANY.COM,797-6327,1993-10-25,ASSOCIATE,0,280
84105,BERTRAM,MOCK,B.MOCK5@LGCOMPANY.COM,505-8093,2008-03-22,DRIVER,0,550
84106,FELICE,SAMUEL,S.FELICE98@LGCOMPANY.COM,441-5953,2001-04-15,ASSOCIATE,0.04,200
